website_id,page_path,active_users,sessions,page_views,engaged_sessions,engagement_rate,average_session_duration,screen_page_views_per_user,first_visit,page_view,scroll,session_start,user_engagement,performance_label,performance_score
1,/page2,6,9,16,9,0.4482279688144924,17.60784752312488,4.621415043392556,1.0,32.0,32.0,1.0,25.0,0,2.07
3,/page2,9,17,40,17,0.8732107464602538,33.76621299951046,3.750486347980223,0.0,40.0,39.0,4.0,29.0,1,99.85
5,/cabinet/doctors.html,3,4,6,2,0.6659021897504479,5.815344629881749,2.263388755663547,0.0,0.0,0.0,0.0,0.0,0,0.17
1,/,9,37,105,16,0.2747050997861037,99.30474058958193,4.763510753720277,6.0,74.0,55.0,15.0,72.0,0,4.27
1,/,11,32,113,16,0.2829423874644251,95.5132062809268,5.282368611000715,4.0,66.0,60.0,17.0,43.0,0,2.99
3,/page2,10,16,54,13,0.836637039802324,52.66757552597669,4.350157450024826,0.0,36.0,35.0,4.0,33.0,1,99.55
5,/,3,3,8,3,0.9914047904385253,398.02369270607767,2.627662197491828,0.0,0.0,0.0,0.0,0.0,0,5.32
3,/,21,10,19,10,0.6714299025040353,124.17846905094876,5.292124527173157,3.0,85.0,63.0,27.0,60.0,0,2.93
3,/page3,8,15,25,10,0.9232429652780512,6.049986997240973,2.628469769000067,0.0,18.0,15.0,1.0,11.0,1,99.71
3,/page3,7,13,24,12,0.9956970559753888,7.502413957211738,2.385119566663798,0.0,19.0,23.0,1.0,19.0,1,99.38
3,/page5,8,11,17,11,0.5243302140904994,198.93364655314556,4.64763789237813,0.0,21.0,31.0,2.0,23.0,0,7.39
4,/details,2,3,4,3,1.0,428.52983929433066,1.848382756477101,0.0,0.0,0.0,0.0,0.0,0,0.67
3,/page2,6,8,21,8,0.4289934502863257,41.26208581699875,3.750860963801549,0.0,37.0,34.0,4.0,26.0,0,1.32
5,/voyages,1,1,1,1,1.0,146.82764122048212,0.902220950957207,0.0,0.0,0.0,0.0,0.0,0,1.61
5,/voyages,1,1,1,1,1.0,134.91207005669833,1.014823390294891,0.0,0.0,0.0,0.0,0.0,0,1.93
5,/cabinet/about.html,2,2,7,2,0.9914923293171644,10.151549333427978,3.323868088789488,0.0,0.0,0.0,0.0,0.0,0,3.46
4,/page,3,8,7,2,0.7818011941797245,10.005656322928289,1.5008605042786196,0.0,0.0,0.0,0.0,0.0,0,1.43
4,/details,2,3,6,2,0.9093369639798548,517.2450274750437,1.6052441694519686,0.0,0.0,0.0,0.0,0.0,0,2.23
4,/details,2,10,10,4,0.5058904328433261,550.3127473749805,1.63360948114018,0.0,0.0,0.0,0.0,0.0,0,4.2
3,/page3,7,13,18,13,0.8518917251856949,6.104866347862701,2.835399895142618,0.0,20.0,22.0,1.0,19.0,0,2.68
5,/cabinet/faq.html,2,2,3,1,0.9685870231673412,11.544653567538866,2.1474837303029237,0.0,0.0,0.0,0.0,0.0,0,1.82
5,/cabinet/contact.html,2,2,5,2,0.9024581322311342,8.903694746841968,3.365050793959428,0.0,0.0,0.0,0.0,0.0,0,3.07
6,/travel_agency,2,2,2,0,0.0,0.0,0.9511115917664158,0.0,0.0,0.0,0.0,0.0,0,1.93
1,/,9,14,11,13,0.4967652292715802,129.3971103847417,5.906924044977492,5.0,73.0,37.0,19.0,72.0,0,1.28
3,/page4,8,18,28,13,1.0,61.18659490878303,3.0290551900483424,0.0,27.0,12.0,0.0,19.0,1,99.94
5,/cabinet/contact.html,2,8,21,2,0.6573985668182076,7.456143671203575,3.4387034017281475,0.0,0.0,0.0,0.0,0.0,0,1.11
3,/page3,6,9,26,9,0.6082052242317226,6.870972684478142,2.7534547309602626,0.0,22.0,19.0,1.0,12.0,0,1.09
4,/,6,11,9,2,0.3225803141798357,198.35131848732576,1.0989566420692292,0.0,0.0,0.0,0.0,0.0,0,0.93
5,/cabinet/blog.html,2,10,7,1,0.3013519982511613,31.872503723922502,0.8878489709828188,0.0,0.0,0.0,0.0,0.0,0,3.0
5,/cabinet/blog.html,2,9,26,2,0.5934380807382249,28.50412856520082,0.8285116631216893,0.0,0.0,0.0,0.0,0.0,0,2.0
1,/page2,5,10,17,10,0.5506585030993727,21.15791686085668,4.494132476548896,1.0,18.0,27.0,1.0,26.0,0,4.07
